Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
1,1,83,49,2,3,12,12
1,1,52,56,2,8,48,48
1,1,71,41,2,8,48,48
1,1,91,96,2,2,4,4
1,1,93,41,2,8,40,40
1,1,93,41,2,8,40,40
1,1,93,41,2,8,40,40
1,1,93,41,2,8,16,16
1,1,71,41,2,8,24,24
1,1,41,84,1,8,40,40
1,1,93,41,2,8,40,40
1,1,52,47,2,8,32,32
1,1,61,1,2,8,24,24
1,1,11,84,2,8,8,8
1,1,23,85,1,8,40,40
1,1,71,41,2,8,40,40
1,1,32,84,2,8,8,8
1,1,41,84,2,8,40,40
1,1,93,41,2,8,40,40
1,1,43,68,1,8,40,40
1,1,54,84,1,8,40,40
1,1,61,1,2,8,56,56
1,1,61,1,2,6,42,42
1,1,61,1,2,1,7,7
1,1,61,1,2,6,36,36
1,1,92,1,2,3,6,6
1,1,93,41,2,8,40,40
1,1,92,1,2,3,6,6
1,1,92,1,2,3,6,6
1,1,61,1,2,8,8,8
1,2,52,47,2,3,21,21
1,1,61,1,2,4,28,28
1,1,61,1,2,3,6,6
1,1,34,84,1,8,40,40
1,1,61,1,2,1,1,1
1,1,52,47,2,3,18,18
1,1,61,1,2,8,56,56
1,1,61,1,2,6,48,48
1,1,61,1,2,8,56,56
1,1,23,85,1,8,40,40
1,1,92,1,2,8,24,24
1,1,93,41,2,8,48,48
1,1,96,82,2,8,40,56
1,1,61,1,2,8,56,96
1,1,93,47,2,8,48,48
1,1,92,1,2,4,4,4
1,1,92,1,2,4,4,4
1,1,71,41,2,8,40,40
1,1,92,1,2,8,8,8
1,1,96,64,1,8,40,56
1,1,62,3,2,10,20,20
1,1,52,47,1,12,48,48
1,1,75,10,2,5,30,30
1,1,52,47,2,4,20,20
1,1,11,84,2,4,20,50
1,1,52,47,2,8,48,48
1,1,93,10,2,5,30,30
1,1,71,41,2,8,40,48
1,1,94,56,2,3,6,6
1,1,93,41,3,8,24,24
1,1,61,1,2,3,21,21
1,1,93,41,3,8,32,32
1,1,52,47,2,8,48,48
1,1,93,41,2,8,48,48
1,1,61,1,2,6,36,36
1,1,52,47,2,4,24,24
1,1,93,41,3,8,24,40
1,1,92,1,2,4,12,12
1,1,13,64,1,8,48,48
1,1,52,47,2,5,15,15
1,1,93,41,3,6,30,30
1,1,52,47,2,5,20,20
1,1,91,96,2,6,30,30
1,1,61,1,2,3,18,18
1,1,23,85,1,8,40,40
1,1,32,86,2,8,48,48
1,1,52,47,2,3,6,6
1,1,93,41,2,8,40,40
1,1,52,47,1,12,84,84
1,1,61,1,2,8,48,48
1,1,92,1,2,8,24,24
1,1,61,1,2,8,48,48
1,1,61,1,2,6,36,36
1,1,92,1,2,6,24,24
1,1,61,1,2,8,48,48
1,1,52,47,2,8,48,48
1,1,13,31,1,4,20,20
1,1,22,86,1,8,48,48
1,1,91,96,1,8,56,56
1,1,91,96,2,8,24,24
1,1,61,1,2,6,36,36
1,1,92,1,3,8,16,16
1,1,93,41,3,8,48,48
1,1,71,41,3,8,24,24
1,1,93,41,2,8,48,48
1,1,93,41,2,8,48,48
1,1,51,96,2,8,48,48
1,1,92,1,3,8,16,16
1,1,92,1,3,8,24,24
1,1,74,95,2,8,24,24
1,1,93,41,1,8,48,48
1,1,92,1,3,8,48,48
1,1,61,1,2,4,24,24
1,1,93,41,2,8,48,48
1,1,92,1,3,8,16,16
1,1,61,1,2,4,24,24
1,1,92,1,2,4,12,12
1,1,92,1,2,8,48,48
1,1,92,1,2,8,48,48
1,1,75,31,1,8,48,48
1,1,51,56,2,8,40,40
1,1,92,1,3,8,32,32
1,1,92,1,3,8,24,24
1,1,81,10,1,8,56,56
1,1,51,96,1,8,32,32
1,1,93,46,2,4,16,16
1,1,61,1,1,8,32,32
1,1,93,41,1,8,48,48
1,1,61,1,1,5,35,35
1,1,22,86,2,12,60,60
1,1,61,1,1,7,35,35
1,1,53,84,1,8,16,26
1,3,74,95,1,10,20,20
1,1,23,84,1,8,40,40
1,1,91,96,1,14,84,84
1,1,83,49,1,12,60,60
1,1,91,96,1,10,60,60
1,1,93,41,1,8,48,48
1,1,53,86,1,8,40,40
1,1,54,84,1,16,80,80
1,1,54,84,1,16,80,80
1,1,75,12,1,8,48,48
1,1,91,96,1,14,84,84
1,1,54,80,1,12,72,72
1,1,83,49,1,10,20,20
1,1,71,41,1,8,48,48
1,1,33,96,1,16,96,96
1,1,71,41,1,8,48,48
1,1,41,96,1,8,48,48
1,1,42,82,1,10,50,50
1,1,51,56,1,10,60,60
1,1,54,84,1,10,20,48
1,1,11,84,1,8,8,22
1,1,61,1,1,4,28,28
1,1,32,84,1,8,16,16
1,1,82,26,1,12,60,60
1,1,13,85,1,8,40,40
1,1,32,84,1,8,16,38
1,1,61,1,1,7,42,42
1,1,52,56,2,8,24,24
1,1,61,1,1,4,28,28
1,1,61,1,1,6,42,42
1,1,92,1,2,6,42,42
1,1,61,1,1,5,35,35
1,1,93,41,1,8,48,48
1,1,92,1,1,5,35,35
1,1,92,1,1,4,28,28
1,1,61,1,1,7,49,49
1,1,61,1,1,6,18,18
1,1,32,84,1,8,16,28
1,1,92,1,1,6,18,18
1,1,83,49,1,8,48,48
1,1,61,1,1,4,28,28
1,1,61,1,1,10,70,70
1,1,22,86,1,8,40,40
1,1,54,84,1,8,40,40
1,1,71,41,1,8,48,48
1,1,14,56,2,8,48,48
1,1,51,96,3,7,42,42
1,1,83,49,1,6,42,42
1,1,53,96,1,9,54,54
1,1,93,41,1,8,48,48
1,1,83,49,1,7,42,42
1,1,91,96,1,9,54,54
1,1,13,18,1,8,40,40
1,1,24,84,1,8,40,40
1,2,42,82,1,8,40,40
1,1,52,47,1,8,48,48
1,1,83,49,1,7,42,42
1,2,52,47,2,4,28,28
1,1,52,47,2,8,48,48
1,1,96,47,1,8,48,48
1,1,95,47,2,6,42,42
1,1,93,41,1,8,48,48
1,1,52,47,2,6,42,42
1,1,33,68,1,8,40,40
1,1,22,86,1,8,40,40
1,1,72,45,1,8,56,56
1,1,23,85,1,8,40,40
1,1,71,41,1,8,48,48
1,1,91,96,1,7,21,21
1,1,31,26,1,8,40,40
1,1,52,47,1,8,48,48
1,1,71,41,1,8,48,48
1,1,75,47,1,7,42,42
1,1,93,11,1,8,48,48
1,1,72,41,1,8,48,48
1,1,93,41,2,8,48,48
1,1,83,49,1,8,48,48
1,1,96,84,2,8,16,36
1,1,43,69,1,8,48,48
1,1,52,56,2,8,48,48
1,1,61,1,1,6,42,48
1,1,23,85,1,8,40,40
1,1,92,1,2,6,36,36
1,1,54,84,1,8,16,40
1,1,92,1,1,6,48,48
1,1,61,1,1,7,42,42
1,1,92,1,1,4,24,40
1,1,93,41,1,8,48,48
1,1,61,1,1,7,42,42
1,1,74,41,1,8,48,48
1,1,12,56,1,8,48,48
1,1,61,1,1,6,36,36
1,1,42,92,1,6,42,42
1,1,94,56,2,8,48,48
1,1,61,1,1,7,42,42
1,1,61,1,1,7,42,42
1,1,92,1,1,5,30,30
1,1,61,1,1,7,42,42
1,1,51,56,2,8,40,40
1,1,61,1,1,6,36,48
1,1,92,1,1,6,48,48
1,1,61,1,1,7,42,42
1,1,91,84,1,8,48,48
1,1,94,56,1,8,40,40
1,1,41,84,2,8,40,40
1,1,61,1,1,7,42,48
1,1,61,1,1,6,36,42
1,1,61,1,1,7,42,48
1,1,61,1,1,8,48,48
1,1,23,85,1,9,45,45
1,1,61,1,1,7,42,42
1,2,23,85,1,6,36,36
1,1,72,45,1,8,40,40
1,1,51,96,3,7,42,42
1,1,61,1,1,6,42,42
1,1,52,56,2,6,42,42
1,1,52,47,1,10,70,70
1,1,54,80,1,10,50,50
1,1,93,41,1,8,48,48
1,1,61,1,1,8,56,56
1,1,92,1,1,6,42,42
1,1,92,1,1,6,42,42
1,1,61,1,1,7,42,42
1,1,52,47,1,10,70,70
1,1,61,1,1,7,42,42
1,1,61,1,1,6,36,40
1,1,61,1,1,7,42,42
1,1,61,1,1,7,42,42
1,1,93,41,1,8,48,48
1,1,11,84,1,8,16,40
1,1,11,84,1,8,40,40
1,1,23,85,1,8,40,40
1,1,31,46,2,8,48,48
1,1,23,85,1,8,40,40
1,1,41,84,2,8,40,40
1,1,54,84,1,10,50,50
1,1,92,1,1,5,30,30
1,1,61,1,1,7,42,42
1,1,92,1,1,6,42,42
1,1,93,41,1,8,48,48
1,1,54,84,1,5,15,15
1,1,91,96,1,4,8,8
1,1,93,47,1,8,48,48
1,1,93,41,1,8,48,48
1,1,61,1,1,4,28,28
1,1,93,41,1,8,48,48
1,1,52,47,1,8,56,56
1,1,61,1,1,5,35,35
1,1,52,46,1,8,56,56
